Programme,Nombre de Threads,Tentative N°,Temps d'execution
phil,2,1,0.300
phil,2,2,0.276
phil,2,3,0.289
phil,2,4,0.233
phil,2,5,0.302
phil,4,1,0.445
phil,4,2,0.488
phil,4,3,0.438
phil,4,4,0.477
phil,4,5,0.465
phil,8,1,0.585
phil,8,2,0.599
phil,8,3,0.819
phil,8,4,0.657
phil,8,5,0.594
phil,16,1,0.902
phil,16,2,0.820
phil,16,3,1.574
phil,16,4,0.846
phil,16,5,1.403
phil,32,1,0.939
phil,32,2,1.061
phil,32,3,1.168
phil,32,4,0.915
phil,32,5,0.935
pro,2,1,0.094
pro,2,2,0.090
pro,2,3,0.093
pro,2,4,0.095
pro,2,5,0.096
pro,4,1,0.095
pro,4,2,0.095
pro,4,3,0.095
pro,4,4,0.096
pro,4,5,0.097
pro,8,1,0.098
pro,8,2,0.098
pro,8,3,0.102
pro,8,4,0.100
pro,8,5,0.100
pro,16,1,0.101
pro,16,2,0.099
pro,16,3,0.104
pro,16,4,0.132
pro,16,5,0.115
pro,32,1,0.107
pro,32,2,0.102
pro,32,3,0.103
pro,32,4,0.108
pro,32,5,0.104
