Programme,Nombre de Threads,Tentative N°,Temps d'execution
phil,2,1,0.017
phil,2,2,0.016
phil,2,3,0.015
phil,2,4,0.017
phil,2,5,0.017
phil,4,1,0.016
phil,4,2,0.016
phil,4,3,0.015
phil,4,4,0.016
phil,4,5,0.017
phil,8,1,0.016
phil,8,2,0.016
phil,8,3,0.018
phil,8,4,0.014
phil,8,5,0.016
phil,16,1,0.016
phil,16,2,0.018
phil,16,3,0.016
phil,16,4,0.014
phil,16,5,0.017
phil,32,1,0.017
phil,32,2,0.016
phil,32,3,0.017
phil,32,4,0.015
phil,32,5,0.015
pro,2,1,0.017
pro,2,2,0.019
pro,2,3,0.017
pro,2,4,0.018
pro,2,5,0.017
pro,4,1,0.016
pro,4,2,0.015
pro,4,3,0.016
pro,4,4,0.017
pro,4,5,0.018
pro,8,1,0.020
pro,8,2,0.017
pro,8,3,0.018
pro,8,4,0.016
pro,8,5,0.017
pro,16,1,0.016
pro,16,2,0.017
pro,16,3,0.017
pro,16,4,0.017
pro,16,5,0.016
pro,32,1,0.016
pro,32,2,0.016
pro,32,3,0.018
pro,32,4,0.017
pro,32,5,0.016
rw,2,1,0.018
rw,2,2,0.016
rw,2,3,0.016
rw,2,4,0.017
rw,2,5,0.018
rw,4,1,0.016
rw,4,2,0.017
rw,4,3,0.016
rw,4,4,0.016
rw,4,5,0.017
rw,8,1,0.016
rw,8,2,0.016
rw,8,3,0.016
rw,8,4,0.017
rw,8,5,0.017
rw,16,1,0.021
rw,16,2,0.016
rw,16,3,0.017
rw,16,4,0.015
rw,16,5,0.017
rw,32,1,0.017
rw,32,2,0.018
rw,32,3,0.017
rw,32,4,0.018
rw,32,5,0.017
