Programme,Nombre de Threads,Tentative N°,Temps d'execution
phil,2,1,0.169
phil,2,2,0.149
phil,2,3,0.155
phil,2,4,0.143
phil,2,5,0.188
phil,4,1,0.412
phil,4,2,0.452
phil,4,3,0.488
phil,4,4,0.399
phil,4,5,0.484
phil,8,1,1.186
phil,8,2,1.180
phil,8,3,1.258
phil,8,4,0.599
phil,8,5,1.267
phil,16,1,1.722
phil,16,2,2.285
phil,16,3,1.730
phil,16,4,3.217
phil,16,5,2.453
phil,32,1,6.510
phil,32,2,6.615
phil,32,3,6.554
phil,32,4,7.149
phil,32,5,6.184
prod,2,1,1.501
prod,2,2,1.497
prod,2,3,1.499
prod,2,4,1.498
prod,2,5,1.500
prod,4,1,0.770
prod,4,2,0.767
prod,4,3,0.767
prod,4,4,0.764
prod,4,5,0.767
prod,8,1,0.385
prod,8,2,0.384
prod,8,3,0.383
prod,8,4,0.385
prod,8,5,0.383
prod,16,1,0.215
prod,16,2,0.213
prod,16,3,0.213
prod,16,4,0.213
prod,16,5,0.213
prod,32,1,7.363
prod,32,2,3.199
prod,32,3,2.957
prod,32,4,3.072
prod,32,5,5.726
rw,2,1,0.039
rw,2,2,0.039
rw,2,3,0.039
rw,2,4,0.039
rw,2,5,0.039
rw,4,1,0.046
rw,4,2,0.046
rw,4,3,0.046
rw,4,4,0.046
rw,4,5,0.046
rw,8,1,0.065
rw,8,2,0.065
rw,8,3,0.064
rw,8,4,0.064
rw,8,5,0.065
rw,16,1,0.119
rw,16,2,0.119
rw,16,3,0.119
rw,16,4,0.111
rw,16,5,0.116
rw,32,1,0.979
rw,32,2,0.880
rw,32,3,1.044
rw,32,4,1.336
rw,32,5,1.075
