Programme,Nombre de Threads,Tentative N°,Temps d'execution
phil,2,1,0.142
phil,2,2,0.139
phil,2,3,0.148
phil,2,4,0.144
phil,2,5,0.137
phil,4,1,0.437
phil,4,2,0.417
phil,4,3,0.428
phil,4,4,0.294
phil,4,5,0.412
phil,8,1,0.741
phil,8,2,1.074
phil,8,3,0.781
phil,8,4,1.036
phil,8,5,0.805
phil,16,1,1.749
phil,16,2,2.164
phil,16,3,1.683
phil,16,4,1.836
phil,16,5,1.937
phil,32,1,5.098
phil,32,2,5.104
phil,32,3,5.232
phil,32,4,5.320
phil,32,5,4.498
prod,2,1,1.502
prod,2,2,1.501
prod,2,3,1.497
prod,2,4,1.498
prod,2,5,1.500
prod,4,1,0.754
prod,4,2,0.768
prod,4,3,0.766
prod,4,4,0.767
prod,4,5,0.756
prod,8,1,0.385
prod,8,2,0.384
prod,8,3,0.384
prod,8,4,0.384
prod,8,5,0.385
prod,16,1,0.213
prod,16,2,0.215
prod,16,3,0.213
prod,16,4,0.213
prod,16,5,0.213
prod,32,1,0.778
prod,32,2,0.856
prod,32,3,0.746
prod,32,4,1.059
prod,32,5,0.896
rw,2,1,0.041
rw,2,2,0.039
rw,2,3,0.039
rw,2,4,0.039
rw,2,5,0.039
rw,4,1,0.046
rw,4,2,0.047
rw,4,3,0.046
rw,4,4,0.046
rw,4,5,0.046
rw,8,1,0.063
rw,8,2,0.064
rw,8,3,0.064
rw,8,4,0.063
rw,8,5,0.064
rw,16,1,0.099
rw,16,2,0.098
rw,16,3,0.099
rw,16,4,0.099
rw,16,5,0.097
rw,32,1,0.581
rw,32,2,0.670
rw,32,3,0.593
rw,32,4,0.663
rw,32,5,0.636
